Use_Case_No,Use_Case_Type,Use_Case_Description,Date Added,Theme,Current_Target
1,Change Management,How many higher risk changes are being planned in relation to Volcker reporting in the next 2 weeks?,8/1/2019,Change Management,Target
2,Change Management,Which 5 applications have had the highest number of failed changes this year,8/1/2019,Incident Tracking,Target
3,Change Management,What is the current permit status for project XYZ and the history of the permit since the project submitted a permit request?,8/1/2019,Permit,Current
4,Change Management,Provide the lineage from ideation to deployment for the last 5 CDO releases and the supporting artifacts,8/1/2019,Idea Management,Target
5,Change Management,Provide me the evidence associated with material changes in Consumer in the past 6 months,8/1/2019,Materiality,Target
6,Change Management,"A report that provides the count of Materiality assessments done for each project broken out by: the count exempt projects, the count of regulatory assessments and the count of missing assessments",8/1/2019,Materiality Assessments,Current
7,Change Management,"To see a list of all open AITs with PTO, PTB, PTS broken down by applications by missing permits, permit owner, permit ID, permit date, project manager, status.",8/1/2019,Permit,Current
8,Change Management,"Query any AIT and understand the permit detail including Global Change Policy, Internal ADA, External ADA, Information Security, Enterprise Data Management, Business Continuity and Disaster Recovery, Enterprise third party management, cross border data movement, new application review and approval ,Enterprise Architecture Assessment, Application Network Review, Privacy Impact assessment",8/1/2019,Permit,Target
9,Change Management,"Create a program dashboard of program demographics, deployment events, tollgates, financials, risk and issues, change controls, task and phases",8/1/2019,Programs,Current
10,Change Management,Ability to see all High priority issues relating to key material programs,8/1/2019,Materiality,Current
11,Change Management,"Provide a list of all projects within program to analyze funding, funding variance, forecast actual in order to align with overall strategy and portfolio prioritization",8/1/2019,Funding,Current
12,Change Management,Provide current financial and workforce allocation across enterprise to plan funding and resourcing for upcoming fiscal year,8/1/2019,Funding,Target
13,Change Management,"Provide most recent change controls including Project ID, change control #, Title, Status, Created Date, change control type, description, id, and impact/benefit, and owner",8/1/2019,Change Controls,Current
14,Change Management,"Show me evidence that a FLU/CF registered the Program in a Program SOR by providing the Program Setup Form (which includes the following data elements: Change Type, Program Title, Program Description, Start Date Finish Date, PCM ID, URL for Program Documentation, Funding Source); CAR-200",8/1/2019,Change Mgmt Policy Adherence,Current
15,Change Management,"Show Evidence that a materiality assessment using the ECM Materiality Criteria was conducted. Assessment includes following elements:( New Application or total re-write, New Third Party, New AI or convert existing technology / process to AI, Regulatory mandate, High Impact Regulatory Change with tech involvement or complex regulatory change, Impact multiple LOBs, functions, units, apps and / or processes, High risk process , Significant change to the way employees do their jobs , Complex development of new tech, Impact to external clients / customers, Negative impact to reputation or brand?, Significant regulatory / compliance / legal impacts, NBK ID); CAR-100",8/1/2019,Change Mgmt Policy Adherence,Current
16,Change Management,Show evidence a project change must be designated as ‘Material’ or ‘Non-Material’ based on the outcome of the materiality assessment; CAR-100,8/1/2019,Change Mgmt Policy Adherence,Current
17,Change Management,Show evidence Every ‘Material’ change engaged a Compliance and Operational Risk partner when the materiality assessment indicates that the change will have regulatory impacts (Data includes: Compliance /Op Risk name of resource; CAR-100,8/1/2019,Change Mgmt Policy Adherence,Current
18,Change Management,"Show me evidence a FLU/CF registered the Project in a Project SOR (Data includes: Change Type, Project Title, Project Description, Program PPRT ID Alignment, Program PCM ID, Project Start Date, Project Finish Date, Project PCM ID, Funding Source, URL for Project Documentation, Financial Record, Non-Technology Project, Project Manager, Sponsoring LOB Lead, Tech Lead ); CAR-200",8/1/2019,Change Mgmt Policy Adherence,Current
19,Change Management,"Show evidence that a Change Requester registered every Technical Change by opening a change request within the Technical Change SOR (data elements include: Impact Assessment, Change Description, Test Plan, Back-out Plan, Install Plan, Risk Assessment, Identification of all parties involved in the change, Business justification); CA-200",8/1/2019,Change Mgmt Policy Adherence,Current
